class,nodes,threads,delay,method,solved,avg trials,avg time,speedup
gklss4d,1,16,0.1,MIDACO OpenMP,97,26232,0.17459130016000007,10.985235316206259
gklss4d,1,16,0.5,MIDACO OpenMP,97,26232,1.09167723571,14.04711753031705
gklss4d,1,16,1,MIDACO OpenMP,97,26232,2.1438422859300004,14.34153558419638
gklss4d,1,1,0.1,MIDACO OpenMP,98,28082,1.9179265164200001,1.0
gklss4d,1,1,0.5,MIDACO OpenMP,98,28082,15.33491843519,1.0
gklss4d,1,1,1,MIDACO OpenMP,98,28082,30.74599043057001,1.0
gklss4d,2,16,0.1,MIDACO OpenMP,97,26232,0.16112453008000002,11.90338004689745
gklss4d,2,16,0.5,MIDACO OpenMP,97,26232,1.09434974017,14.01281315496801
gklss4d,2,16,1,MIDACO OpenMP,97,26232,2.122102406049999,14.488457457526488
gklss4d,2,1,0.1,MIDACO OpenMP,98,28082,2.185747154309999,0.8774695246145499
gklss4d,2,1,0.5,MIDACO OpenMP,98,28082,15.63813553401,0.9806104060064859
gklss4d,2,1,1,MIDACO OpenMP,98,28082,30.93409097419,0.9939193123930187
gklss4d,4,16,0.1,MIDACO OpenMP,97,26232,0.1773175019,10.816340721411889
gklss4d,4,16,0.5,MIDACO OpenMP,97,26232,1.0954833696600004,13.998312397886442
gklss4d,4,16,1,MIDACO OpenMP,97,26232,2.1220738595599995,14.488652358662495
gklss4d,4,1,0.1,MIDACO OpenMP,98,28082,2.1935366309299993,0.8743535391095119
gklss4d,4,1,0.5,MIDACO OpenMP,98,28082,16.571042529029995,0.925404566932075
gklss4d,4,1,1,MIDACO OpenMP,98,28082,30.90004756187,0.9950143399944118
gklss4d,8,16,0.1,MIDACO OpenMP,97,26232,0.17565595018999997,10.918653847737332
gklss4d,8,16,0.5,MIDACO OpenMP,97,26232,1.09293214044,14.030988629373057
gklss4d,8,16,1,MIDACO OpenMP,97,26232,2.13576237841,14.395791751636397
gklss4d,8,1,0.1,MIDACO OpenMP,98,28082,2.2002037843799997,0.8717040348880487
gklss4d,8,1,0.5,MIDACO OpenMP,98,28082,16.573480730919997,0.9252684263590268
gklss4d,8,1,1,MIDACO OpenMP,98,28082,30.96104193264,0.9930541258095298

gklss4d_serg,12,16,0.1,MIDACO OpenMP,98,25751,0.17458935839999995,7.786132713974167
gklss4d_serg,12,16,0.5,MIDACO OpenMP,98,25751,1.0463892325500002,9.153344159743474
gklss4d_serg,12,16,1,MIDACO OpenMP,98,25751,2.01685235701,9.566512185921168
gklss4d_serg,12,1,0.1,MIDACO OpenMP,100,19027,1.5366616839399994,0.8846292773205364
gklss4d_serg,12,1,0.5,MIDACO OpenMP,100,19027,9.715641223879992,0.9858289895512417
gklss4d_serg,12,1,1,MIDACO OpenMP,100,19027,19.304005620120005,0.9994942516194755
gklss4d_serg,1,16,0.1,MIDACO OpenMP,98,25751,0.14921012684999999,9.110480257928957
gklss4d_serg,1,16,0.5,MIDACO OpenMP,98,25751,1.0135687874600003,9.449739266914815
gklss4d_serg,1,16,1,MIDACO OpenMP,98,25751,1.9998505628900003,9.647842198097905
gklss4d_serg,1,1,0.1,MIDACO OpenMP,100,19027,1.3593759149500002,1.0
gklss4d_serg,1,1,0.5,MIDACO OpenMP,100,19027,9.57796077058,1.0
gklss4d_serg,1,1,1,MIDACO OpenMP,100,19027,19.294242650539992,1.0
gklss4d_serg,2,16,0.1,MIDACO OpenMP,98,25751,0.17266877169999995,7.872737505261356
gklss4d_serg,2,16,0.5,MIDACO OpenMP,98,25751,1.03819655494,9.225575566597342
gklss4d_serg,2,16,1,MIDACO OpenMP,98,25751,2.00164106794,9.639212024359976
gklss4d_serg,2,1,0.1,MIDACO OpenMP,100,19027,1.2004789217900003,1.1323613353602853
gklss4d_serg,2,1,0.5,MIDACO OpenMP,100,19027,9.602491211190001,0.9974454086892145
gklss4d_serg,2,1,1,MIDACO OpenMP,100,19027,19.32161085865,0.9985835441821997
gklss4d_serg,4,16,0.1,MIDACO OpenMP,98,25751,0.16976945005999997,8.007188068698868
gklss4d_serg,4,16,0.5,MIDACO OpenMP,98,25751,1.0189614364700004,9.399728417358991
gklss4d_serg,4,16,1,MIDACO OpenMP,98,25751,1.9984011342899997,9.654839721353007
gklss4d_serg,4,1,0.1,MIDACO OpenMP,100,19027,1.529051521720001,0.8890321193499511
gklss4d_serg,4,1,0.5,MIDACO OpenMP,100,19027,9.75380075906,0.9819721570264117
gklss4d_serg,4,1,1,MIDACO OpenMP,100,19027,19.209551641669997,1.00440879675121
gklss4d_serg,8,16,0.1,MIDACO OpenMP,98,25751,0.15844036045,8.579732532096749
gklss4d_serg,8,16,0.5,MIDACO OpenMP,98,25751,1.0306406171499995,9.293211048741371
gklss4d_serg,8,16,1,MIDACO OpenMP,98,25751,2.003236117859999,9.631536930929286
gklss4d_serg,8,1,0.1,MIDACO OpenMP,100,19027,1.5300355358500008,0.8884603547425506
gklss4d_serg,8,1,0.5,MIDACO OpenMP,100,19027,9.741203239009998,0.9832420631800115
gklss4d_serg,8,1,1,MIDACO OpenMP,100,19027,19.18416922483001,1.0057377217861232

